iter	RMSE
0	1176.174425
1	1108.117586
2	1042.047112
3	978.005777
4	919.3118262
5	864.9794336
6	815.6760032
7	769.2022398
8	726.1427342
9	685.8448716
10	647.5771231
11	610.7517374
12	575.765593
13	544.683824
14	515.6520814
15	487.5476214
16	461.4484536
17	438.7446168
18	415.8487916
19	395.2208797
20	375.5364898
21	360.0814649
22	343.4308596
23	327.4184563
24	313.0347188
25	300.1262468
26	288.1754417
27	277.2111276
28	266.5092388
29	256.9028942
30	247.8376288
31	239.7659838
32	232.5732037
33	225.9119718
34	219.2719669
35	213.628315
36	208.1668313
37	203.2127561
38	198.574119
39	194.396578
40	190.618278
41	187.0897718
42	183.845572
43	180.9790681
44	178.4374556
45	175.8720284
46	173.5745373
47	171.2860541
48	169.4027162
49	167.7116897
50	166.1323691
51	164.3888278
52	162.9595891
53	161.5718821
54	160.2086951
55	159.1561115
56	158.1228207
57	157.2239657
58	156.256899
59	155.4974074
60	154.7446567
61	153.6840969
62	153.1776634
63	152.6244197
64	151.8289703
65	151.2746449
66	150.8228307
67	150.2158823
68	149.4072576
69	148.881279
70	148.1824664
71	147.6117291
72	146.814742
73	146.5036792
74	146.0267658
75	145.5322446
76	145.0359389
77	144.7593434
78	144.3244808
79	143.7911656
80	143.481382
81	142.964687
82	142.714815
83	142.2893702
84	141.8081026
85	141.4851521
86	141.2089999
87	140.9410467
88	140.6473973
89	140.3490493
90	140.0288773
91	139.6679026
92	139.5131868
93	138.8784989
94	138.537669
95	138.2431307
96	137.8726283
97	137.585528
98	137.1963834
99	137.015569
100	136.7233065
101	136.6055689
102	136.4306383
103	136.2748556
104	136.125657
105	135.8243575
106	135.6371942
107	135.2284865
108	134.9265867
109	134.5172443
110	134.3284248
111	134.1349345
112	133.9578491
113	133.4938071
114	133.2900988
115	132.9137591
116	132.5830149
117	132.2290293
118	132.0785217
119	131.8240431
120	131.6929841
121	131.415461
122	131.3159827
123	131.0019707
124	130.8743205
125	130.4586458
126	129.9786972
127	129.6919302
128	129.4613047
129	129.1557508
130	128.8828581
131	128.6757864
132	128.3801118
133	127.9785367
134	127.7243207
135	127.5965402
136	127.1997172
137	126.9895515
138	126.5812361
139	126.2633005
140	125.849009
141	125.4507085
142	125.2920981
143	125.1419156
144	124.7848107
145	124.2886336
146	124.0239569
147	123.6363351
148	123.3343851
149	123.1309214
150	122.7261142
151	122.3843241
152	122.2676142
153	122.0411122
154	121.844977
155	121.5398647
156	121.3978323
157	121.2303818
158	120.96207
159	120.477859
160	120.3677447
161	120.1848157
162	119.9718893
163	119.6239732
164	119.3838188
165	118.9638464
166	118.6247912
167	118.2549534
168	117.9606716
169	117.7257809
170	117.5421765
171	117.3076602
172	117.1324568
173	116.940545
174	116.7859659
175	116.3582156
176	116.1134793
177	115.824495
178	115.5151339
179	115.3415281
180	115.1037068
181	114.9791326
182	114.725439
183	114.3963733
184	114.0714644
185	113.9259114
186	113.636813
187	113.4264353
188	113.1750717
189	112.830806
190	112.6616776
191	112.4106421
192	112.2502332
193	112.0624403
194	111.7114612
195	111.4664699
196	111.2787186
197	110.9895082
198	110.7574845
199	110.5849437
200	110.3227504
201	110.1187735
202	109.9614199
203	109.6847528
204	109.4081148
205	109.1457022
206	108.9139122
207	108.7791567
208	108.5410209
209	108.342418
210	108.2092913
211	107.9841
212	107.7746686
213	107.4793452
214	107.3436397
215	107.1596073
216	106.9828011
217	106.8086881
218	106.5713212
219	106.3960144
220	106.1676891
221	105.8867768
222	105.6401534
223	105.4217282
224	105.2601931
225	105.016426
226	104.8798113
227	104.6880276
228	104.451011
229	104.2320109
230	103.9688885
231	103.85108
232	103.5834057
233	103.3457269
234	103.1012054
235	102.921521
236	102.7266839
237	102.6067346
238	102.3666194
239	102.1396062
240	102.0114494
241	101.8713397
242	101.6294811
243	101.403089
244	101.1790364
245	101.0047592
246	100.8916886
247	100.6883933
248	100.4248048
249	100.2290588
250	100.0698715
251	99.8236821
252	99.58897796
253	99.36548368
254	99.26228922
255	99.02902036
256	98.84279225
257	98.74395585
258	98.55098195
259	98.38271156
260	98.2191498
261	98.11963566
262	97.87596247
263	97.76903422
264	97.63371846
265	97.55136361
266	97.36799194
267	97.25784423
268	97.11877443
269	96.99800017
270	96.90596064
271	96.73161314
272	96.53972382
273	96.3730716
274	96.17445946
275	96.05993299
276	95.74779805
277	95.53000845
278	95.28490915
279	95.11297718
280	94.9724067
281	94.91241278
282	94.75924545
283	94.5961127
284	94.4296632
285	94.27621595
286	94.0318995
287	93.95394965
288	93.75105138
289	93.66063594
290	93.57484213
291	93.42035907
292	93.24554204
293	93.16348631
294	93.00009748
295	92.84113706
296	92.74980106
297	92.60628182
298	92.47497894
299	92.346152
300	92.27668661
301	92.13617889
302	92.03494905
303	91.80712074
304	91.72434931
305	91.53733118
306	91.30007754
307	91.07019328
308	90.98010391
309	90.82852079
310	90.64434249
311	90.49969912
312	90.31815245
313	90.15423485
314	90.02994685
315	89.97645413
316	89.80158941
317	89.73622507
318	89.65836167
319	89.50970129
320	89.38512906
321	89.24600364
322	89.1897134
323	89.07851029
324	88.98575117
325	88.81600311
326	88.7464498
327	88.6036115
328	88.50970175
329	88.36603336
330	88.23581144
331	88.10561256
332	87.95585866
333	87.82927696
334	87.65823991
335	87.51629571
336	87.40803672
337	87.23647622
338	87.11588381
339	86.94634459
340	86.86193603
341	86.73325288
342	86.59144735
343	86.468433
344	86.31930782
345	86.18667811
346	86.09008868
347	85.99342981
348	85.90345669
349	85.8250969
350	85.73990975
351	85.57776604
352	85.38991637
353	85.22218704
354	85.08911519
355	84.96599753
356	84.85601536
357	84.73902968
358	84.56333098
359	84.44089929
360	84.27548176
361	84.18273024
362	84.06880702
363	83.95985235
364	83.81351012
365	83.64492795
366	83.50090996
367	83.39820927
368	83.27138537
369	83.16195457
370	83.07694045
371	82.90404933
372	82.81651535
373	82.6431134
374	82.55456036
375	82.48033333
376	82.35879979
377	82.22640568
378	82.09023554
379	82.02528617
380	81.854323
381	81.79097588
382	81.65907453
383	81.54844682
384	81.47293718
385	81.330691
386	81.2249745
387	81.16402774
388	81.03066608
389	80.87530449
390	80.73143281
391	80.63613344
392	80.5117463
393	80.37833389
394	80.25799462
395	80.14343688
396	80.03484883
397	79.9261665
398	79.85604058
399	79.69519345
400	79.54705118
401	79.50932445
402	79.44456627
403	79.27168352
404	79.18128013
405	79.02045702
406	78.95556221
407	78.88994715
