iter	Passed	Remaining
0	11	11365
1	21	10731
2	31	10488
3	41	10211
4	51	10192
5	61	10232
6	72	10257
7	82	10264
8	93	10249
9	103	10262
10	114	10263
11	124	10235
12	134	10235
13	146	10319
14	157	10363
15	168	10391
16	180	10433
17	192	10480
18	202	10481
19	214	10494
20	225	10507
21	236	10514
22	247	10522
23	259	10535
24	270	10566
25	282	10597
26	294	10616
27	306	10626
28	317	10619
29	328	10630
30	340	10632
31	351	10626
32	362	10629
33	374	10631
34	386	10649
35	398	10673
36	410	10680
37	422	10684
38	433	10679
39	444	10675
40	456	10681
41	468	10677
42	479	10678
43	491	10676
44	503	10686
45	515	10693
46	527	10694
47	540	10714
48	551	10712
49	564	10725
50	576	10721
51	588	10724
52	600	10721
53	612	10724
54	624	10723
55	636	10724
56	647	10715
57	659	10715
58	671	10712
59	683	10702
60	694	10686
61	706	10692
62	718	10690
63	729	10674
64	741	10667
65	753	10664
66	765	10653
67	776	10646
68	789	10651
69	801	10648
70	812	10637
71	823	10620
72	835	10612
73	847	10610
74	859	10600
75	870	10587
76	881	10570
77	892	10554
78	903	10535
79	914	10520
80	926	10507
81	937	10490
82	948	10476
83	959	10462
84	971	10453
85	983	10447
86	993	10427
87	1003	10404
88	1014	10389
89	1027	10384
90	1037	10367
91	1048	10352
92	1060	10339
93	1070	10322
94	1081	10306
95	1092	10291
96	1104	10283
97	1116	10276
98	1129	10281
99	1141	10276
100	1154	10274
101	1166	10268
102	1178	10261
103	1189	10247
104	1201	10238
105	1213	10230
106	1225	10229
107	1237	10221
108	1249	10213
109	1261	10205
110	1273	10197
111	1284	10184
112	1296	10178
113	1308	10169
114	1320	10158
115	1333	10160
116	1344	10148
117	1355	10133
118	1367	10122
119	1378	10110
120	1389	10090
121	1400	10079
122	1412	10067
123	1422	10052
124	1434	10039
125	1445	10025
126	1456	10012
127	1468	10005
128	1478	9985
129	1491	9981
130	1503	9970
131	1514	9957
132	1525	9946
133	1537	9936
134	1550	9935
135	1563	9930
136	1574	9920
137	1587	9915
138	1599	9909
139	1612	9906
140	1625	9900
141	1636	9891
142	1648	9881
143	1660	9871
144	1672	9862
145	1684	9851
146	1695	9840
147	1707	9829
148	1718	9813
149	1729	9798
150	1740	9785
151	1751	9771
152	1762	9758
153	1773	9742
154	1784	9727
155	1795	9712
156	1806	9698
157	1816	9681
158	1827	9667
159	1838	9652
160	1849	9636
161	1860	9621
162	1870	9605
163	1881	9593
164	1892	9575
165	1902	9559
166	1913	9543
167	1923	9528
168	1934	9514
169	1945	9500
170	1956	9486
171	1967	9470
172	1978	9457
173	1988	9441
174	1999	9426
175	2010	9410
176	2021	9398
177	2031	9383
178	2042	9369
179	2053	9356
180	2064	9340
181	2075	9326
182	2085	9311
183	2097	9300
184	2107	9285
185	2118	9271
186	2128	9254
187	2139	9239
188	2150	9228
189	2161	9215
190	2172	9201
191	2182	9184
192	2193	9169
193	2203	9156
194	2214	9143
195	2225	9129
196	2236	9114
197	2247	9101
198	2257	9087
199	2268	9073
200	2279	9059
201	2289	9044
202	2299	9029
203	2310	9016
204	2321	9003
205	2332	8989
206	2342	8972
207	2352	8958
208	2363	8944
209	2373	8929
210	2383	8914
211	2394	8899
212	2404	8885
213	2415	8872
214	2426	8857
215	2436	8842
216	2446	8827
217	2456	8810
218	2466	8795
219	2477	8782
220	2487	8769
221	2499	8758
222	2510	8746
223	2521	8734
224	2531	8720
225	2542	8706
226	2553	8694
227	2564	8681
228	2574	8667
229	2585	8656
230	2596	8643
231	2607	8631
232	2618	8618
233	2628	8605
234	2639	8592
235	2650	8580
236	2661	8569
237	2671	8554
238	2682	8539
239	2692	8526
240	2702	8512
241	2713	8498
242	2723	8484
243	2734	8471
244	2744	8457
245	2754	8443
246	2765	8429
247	2775	8415
248	2791	8418
249	2802	8407
250	2813	8394
251	2823	8380
252	2833	8367
253	2844	8354
254	2855	8342
255	2866	8329
256	2877	8320
257	2889	8308
258	2900	8298
259	2911	8286
260	2922	8275
261	2933	8263
262	2944	8250
263	2954	8237
264	2965	8226
265	2976	8213
266	2987	8202
267	2998	8190
268	3009	8177
269	3020	8166
270	3031	8155
271	3042	8142
272	3053	8130
273	3063	8118
274	3075	8107
275	3085	8094
276	3096	8083
277	3108	8072
278	3119	8060
279	3130	8050
280	3141	8036
281	3151	8022
282	3161	8009
283	3171	7995
284	3182	7983
285	3192	7969
286	3202	7956
287	3213	7944
288	3223	7931
289	3233	7917
290	3244	7904
291	3254	7891
292	3265	7878
293	3275	7864
294	3285	7851
295	3295	7837
296	3306	7825
297	3317	7815
298	3328	7803
299	3339	7791
300	3349	7779
301	3361	7768
302	3371	7755
303	3383	7746
304	3394	7735
305	3405	7723
306	3416	7712
307	3427	7700
308	3438	7688
309	3448	7676
310	3460	7665
311	3470	7653
312	3481	7640
313	3492	7629
314	3504	7619
315	3514	7608
316	3525	7596
317	3535	7583
318	3545	7569
319	3556	7557
320	3566	7544
321	3577	7532
322	3587	7519
323	3598	7507
324	3608	7495
325	3619	7483
326	3629	7470
327	3640	7458
328	3650	7445
329	3661	7433
330	3671	7421
331	3682	7408
332	3693	7397
333	3704	7386
334	3715	7375
335	3726	7363
336	3737	7352
337	3748	7341
338	3758	7329
339	3770	7318
340	3781	7307
341	3792	7296
342	3803	7285
343	3814	7273
344	3825	7263
345	3837	7253
346	3848	7242
347	3859	7231
348	3870	7218
349	3880	7205
350	3890	7192
351	3901	7181
352	3911	7168
353	3922	7157
354	3932	7144
355	3941	7130
356	3951	7117
357	3962	7105
358	3972	7092
359	3981	7079
360	3991	7065
361	4001	7053
362	4012	7040
363	4024	7031
364	4035	7020
365	4046	7009
366	4057	6998
367	4068	6987
368	4079	6976
369	4090	6964
370	4101	6953
371	4112	6942
372	4122	6930
373	4134	6920
374	4145	6908
375	4155	6897
376	4166	6885
377	4177	6873
378	4187	6862
379	4199	6851
380	4209	6839
381	4220	6827
382	4231	6816
383	4241	6804
384	4251	6792
385	4262	6780
386	4272	6768
387	4283	6755
388	4293	6744
389	4304	6731
390	4314	6719
391	4324	6707
392	4335	6695
393	4345	6684
394	4356	6672
395	4366	6659
396	4376	6647
397	4387	6636
398	4397	6623
399	4408	6612
400	4418	6600
401	4429	6588
402	4440	6577
403	4451	6567
404	4462	6555
405	4474	6546
406	4484	6534
407	4495	6522
408	4506	6511
409	4516	6499
410	4527	6488
411	4538	6477
412	4549	6466
413	4560	6455
414	4571	6443
415	4581	6432
416	4592	6420
417	4603	6409
418	4614	6398
419	4625	6387
420	4636	6375
421	4646	6364
422	4658	6354
423	4667	6341
424	4678	6329
425	4688	6317
426	4699	6306
427	4709	6294
428	4720	6282
429	4730	6270
430	4740	6258
431	4751	6247
432	4761	6235
433	4772	6223
434	4782	6211
435	4792	6200
436	4803	6188
437	4814	6176
438	4824	6165
439	4835	6154
440	4846	6143
441	4856	6131
442	4867	6120
443	4878	6109
444	4889	6097
445	4900	6086
446	4910	6075
447	4921	6064
448	4933	6053
449	4944	6042
450	4954	6031
451	4966	6021
452	4976	6009
453	4987	5998
454	4998	5986
455	5008	5975
456	5019	5964
457	5030	5953
458	5041	5942
459	5052	5931
460	5063	5920
461	5074	5909
462	5084	5897
463	5094	5885
464	5104	5873
465	5114	5860
466	5124	5849
467	5135	5837
468	5145	5825
469	5155	5814
470	5166	5803
471	5177	5791
472	5187	5779
473	5197	5767
474	5208	5756
475	5218	5745
476	5229	5733
477	5239	5721
478	5249	5709
479	5259	5697
480	5270	5686
481	5281	5675
482	5292	5664
483	5303	5653
484	5313	5642
485	5324	5631
486	5334	5619
487	5344	5607
488	5355	5596
489	5367	5586
490	5378	5576
491	5389	5564
492	5400	5553
493	5411	5543
494	5422	5532
495	5434	5522
496	5445	5510
497	5456	5500
498	5467	5489
499	5478	5478
500	5489	5467
501	5500	5456
502	5511	5445
503	5521	5434
504	5533	5423
505	5543	5412
506	5555	5401
507	5566	5390
508	5577	5380
509	5588	5368
510	5598	5357
511	5609	5346
512	5619	5334
513	5630	5324
514	5641	5312
515	5651	5301
516	5662	5289
517	5673	5279
518	5684	5268
519	5694	5256
520	5704	5244
521	5715	5233
522	5726	5222
523	5736	5211
524	5747	5200
525	5758	5189
526	5769	5178
527	5780	5167
528	5791	5156
529	5803	5146
530	5814	5135
531	5825	5124
532	5836	5113
533	5847	5102
534	5857	5091
535	5868	5080
536	5879	5069
537	5890	5058
538	5902	5048
539	5913	5037
540	5924	5026
541	5934	5014
542	5945	5003
543	5955	4991
544	5965	4980
545	5975	4968
546	5986	4957
547	5996	4945
548	6006	4934
549	6017	4923
550	6027	4911
551	6037	4899
552	6047	4888
553	6058	4877
554	6068	4865
555	6079	4854
556	6090	4844
557	6101	4833
558	6112	4822
559	6123	4811
560	6133	4799
561	6144	4789
562	6155	4778
563	6166	4766
564	6177	4756
565	6189	4745
566	6200	4734
567	6211	4724
568	6221	4712
569	6232	4701
570	6243	4690
571	6254	4679
572	6264	4668
573	6275	4657
574	6285	4645
575	6296	4634
576	6307	4624
577	6318	4612
578	6328	4601
579	6338	4589
580	6348	4578
581	6358	4566
582	6368	4555
583	6378	4543
584	6388	4532
585	6398	4520
586	6409	4509
587	6420	4498
588	6430	4487
589	6440	4475
590	6450	4464
591	6460	4452
592	6471	4441
593	6482	4430
594	6492	4419
595	6503	4408
596	6514	4397
597	6525	4386
598	6536	4376
599	6547	4364
600	6557	4353
601	6568	4342
602	6579	4331
603	6589	4320
604	6600	4309
605	6611	4298
606	6622	4287
607	6633	4276
608	6644	4265
609	6654	4254
610	6665	4243
611	6675	4232
612	6686	4221
613	6696	4210
614	6707	4199
615	6719	4188
616	6730	4177
617	6740	4166
618	6750	4155
619	6761	4144
620	6771	4132
621	6782	4121
622	6792	4110
623	6802	4099
624	6813	4088
625	6823	4076
626	6834	4065
627	6844	4054
628	6854	4043
629	6865	4031
630	6876	4021
631	6887	4010
632	6897	3999
633	6908	3988
634	6919	3977
635	6930	3966
636	6941	3955
637	6952	3944
638	6962	3933
639	6974	3923
640	6984	3912
641	6996	3901
642	7007	3890
643	7017	3879
644	7028	3868
